Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,263
design__instance__area,2488.64
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0005077303503639996
power__switching__total,0.00022811628878116608
power__leakage__total,3.054726471773961E-9
power__total,0.0007358496659435332
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25306205069966814
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25381780728948033
timing__hold__ws__corner:nom_tt_025C_1v80,0.31316128354663864
timing__setup__ws__corner:nom_tt_025C_1v80,4.635719495039468
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.313161
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.818788
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25443711746570713
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2562368445506755
timing__hold__ws__corner:nom_ss_100C_1v60,0.9071063601459233
timing__setup__ws__corner:nom_ss_100C_1v60,3.4169996688204622
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.907106
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.250235
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2529154735006965
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2534476311670254
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1150527483627263
timing__setup__ws__corner:nom_ff_n40C_1v95,5.054439676529851
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.115053
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.513616
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25265459883810715
clock__skew__worst_setup,0.2530374315034008
timing__hold__ws,0.11249110294998478
timing__setup__ws,3.402898059652063
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112491
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.209665
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 71.485 82.205
design__core__bbox,5.52 10.88 65.78 70.72
design__io,32
design__die__area,5876.42
design__core__area,3605.96
design__instance__count__stdcell,263
design__instance__area__stdcell,2488.64
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.690146
design__instance__utilization__stdcell,0.690146
design__instance__count__class:sequential_cell,37
design__instance__count__class:multi_input_combinational_cell,92
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,212
design__instance__count__class:tap_cell,48
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,30
design__io__hpwl,835825
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,3243.75
design__violations,0
design__instance__count__class:timing_repair_buffer,78
design__instance__count__class:clock_buffer,6
design__instance__count__class:clock_inverter,2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,40
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,228
route__net__special,2
route__drc_errors__iter:1,48
route__wirelength__iter:1,3449
route__drc_errors__iter:2,7
route__wirelength__iter:2,3385
route__drc_errors__iter:3,4
route__wirelength__iter:3,3354
route__drc_errors__iter:4,0
route__wirelength__iter:4,3352
route__drc_errors,0
route__wirelength,3352
route__vias,1281
route__vias__singlecut,1281
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,128.69
timing__unannotated_net__count__corner:nom_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25267738616633206
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25330571690488907
timing__hold__ws__corner:min_tt_025C_1v80,0.31139336435222537
timing__setup__ws__corner:min_tt_025C_1v80,4.6420033575365665
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.311393
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
